리뷰번호,리뷰작성일시,작성자종류,주문번호,리뷰평점,상품명,상품코드,리뷰내용,지급완료적립금액,구매옵션,작성플랫폼
6953,2024-10-17 1:10,회원,20241014-0000271-01,5,흑요석 블랙가드스톤,P0000BPD,고급스럽고 너무 이뻐요,600,XXL,알파리뷰
6957,2024-10-17 20:17,회원,20241015-0000470-01,5,호안오닉스 카네스톤,P0000BBQ,가성비좋고 아주 만족합니다. 이뻐요,1100,L,알파리뷰
6961,2024-10-18 11:01,회원,20241009-0000227-02,5,아레테스톤 커플세트,P0000CHM,아주 잘받았습니다 .. 근대 구매후 키링 이벤트가 ㅠ.ㅠ 아쉽내요,600,호안크리스탈 XL/호안크리스탈 M,알파리뷰
6964,2024-10-19 2:46,시스템수집,,5,호안오닉스 미스틱아이언,P0000BWH,빠른배송 감사합니다~~^^(2024-10-18 13:49:15 에 등록된 네이버 페이 구매평),0, ,CAFE24
6965,2024-10-19 2:46,시스템수집,,5,블랙가드 마제스톤 세트,P0000BPH,빠른배송 감사합니다~~^^(2024-10-18 13:49:23 에 등록된 네이버 페이 구매평),0, ,CAFE24
6968,2024-10-19 19:54,NPAY 비회원,20241017-0000524-01,5,팬텀골드 커플세트,P0000CHR,배송도 빠르게 됐고  팔찌  퀄리티도 멋지고 마음에 들어  만족합니다~~~^^,1100,XXL/XXL,알파리뷰
6970,2024-10-20 2:42,시스템수집,,5,호안닉스 리치스톤,P0000BPP,"두번짜 구매!!
다른 제품보다 좋아서 재구매!!
굿!!(2024-10-19 09:33:41 에 등록된 네이버 페이 구매평)",0, ,CAFE24
6971,2024-10-20 3:53,시스템수집,,5,팬텀골드 커플세트,P0000CHR,"
	배송도 빠르고 팔찌도 멋지고 사은품 키링도 좋네요~~~^^

				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
(2024-10-19 22:37:29 에 등록된 네이버 페이 구매평)",0, ,CAFE24
6972,2024-10-21 2:42,시스템수집,,5,인텔리 마제스톤 세트,P0000BPI,파란색이 너무 나도 오묘하게 예뻐요!!!(2024-10-20 09:55:23 에 등록된 네이버 페이 구매평),0, ,CAFE24
6973,2024-10-21 2:42,시스템수집,,5,리체 마제스톤 세트,P0000BPJ,마음이 편안해집니다.  든든하고요. 보는걸로만으로도 예쁩니다(2024-10-20 09:55:07 에 등록된 네이버 페이 구매평),0, ,CAFE24
6974,2024-10-21 2:42,시스템수집,,5,아멘티 이터널스톤 세트,P0000BND,설명대로 마음이 정화되는 듯 무엇보다 눈으로 볼때 예쁘니까 기분이 좋아요. 과하지 않고 은은하게 다등 이쁘다고 합니다(2024-10-20 09:56:05 에 등록된 네이버 페이 구매평),0, ,CAFE24
6976,2024-10-16 0:00,관리자,,5,이터널 레더 키링,P0000CHU,커플 세트 사니까 같이 온 키링 너무 예쁘네요! 친구는 키링만 갖고 싶다고 해서 제가 주문해줬어요 ㅎㅎㅎ 고급져서 추천합니다,0,,알파리뷰
6977,2024-10-07 0:00,관리자,,5,이터널 레더 키링,P0000CHU,회사 동료들이 예쁘다고 해서 급하게 올려봅니다.. ^^ 사진으로 볼 때랑 또 다르게 튼튼하고 좋네요 감사합니다,0,,알파리뷰
6978,2024-10-22 2:44,시스템수집,,5,호안오닉스 카네스톤,P0000BBQ,착용하면 아주 이뻐요(2024-10-21 11:07:20 에 등록된 네이버 페이 구매평),0, ,CAFE24
6979,2024-10-22 2:46,시스템수집,,5,호안오닉스 카네스톤,P0000BBQ,오랜만에 팔찌를 했는데 의미로 있고 디자인도 맘에 들어요(2024-10-21 13:52:43 에 등록된 네이버 페이 구매평),0, ,CAFE24
6980,2024-10-22 19:11,NPAY 비회원,20241019-0000168-01,5,호안오닉스 카네스톤,P0000BBQ,손목에 했다가 생활에 불편해 발목에 착용했는데 아주 좋아요~ 모양도 이쁘고 맘에 듭니다~ 좋은 기운과 행운을 가져다주길 바랍니다~,1100,XL,알파리뷰
6984,2024-10-23 2:44,시스템수집,,5,호안오닉스 카네스톤,P0000BBQ,이쁘게 잘 착용하고 있습니다. 기대 이상이에요!!(2024-10-22 12:34:29 에 등록된 네이버 페이 구매평),0, ,CAFE24
6986,2024-10-24 13:53,회원,20241019-0000405-03,5,팬텀골드 커플세트,P0000CHR,넘넘맘에들어서 재주문들에갑니다요~~~~,600,M/XL,알파리뷰
6987,2024-10-24 13:53,회원,20241019-0000405-01,5,호안오닉스 팬텀골드,P0000BWS,"너무너무맘에드는걸요
재주문들어갑니다♡",1100,S,알파리뷰
6988,2024-10-24 13:54,회원,20241019-0000405-02,5,터키석 수에르스톤 체인,P0000BOT,"완전 내스탈이에요
선물도 마구마구할거랍니다",1100,주문제작 (상담하기 또는 배송 메시지에 남겨주세요.),알파리뷰
6989,2024-10-24 18:34,NPAY 비회원,20241022-0000442-01,5,호안오닉스 스테디스톤,P0000BPM,대만족이예요 넘예쁘고 좋아요,1100,L,알파리뷰
6994,2024-10-24 19:51,NPAY 비회원,20241021-0000401-01,5,아레테스톤 커플세트,P0000CHM,정말 멋지고 훌륭한 디자인에  착용감도 좋고 챙겨주신 사은품 키링도 만족합니다~~~^^,1100,호안크리스탈 XL/호안크리스탈 XL,알파리뷰
6997,2024-10-24 20:17,NPAY 비회원,20241022-0000278-01,5,호안오닉스 팬텀골드,P0000BWS,보통 굵은 염주같은 제품들이 많던데 리코맨즈 제품은 얇고 가벼우면서 고급진 디자인이라 너무 마음에 드네요.. 너무 화려하지도 않구요.. 좋은 일 많이 생길 것 같아요.. 감사히 잘 착용할께요~~^^,1100,L,알파리뷰
7000,2024-10-24 20:49,NPAY 비회원,20241020-0000384-01,3,자마노 레브스톤 목걸이,P0000BQL,사진으로 볼때는 색이 진한 빨강처럼 보였는데  약간 갈색 빛이 나요,600,Free,알파리뷰
7006,2024-10-25 2:44,시스템수집,,5,레브 윈스톤 세트 4mm,P0000BLO,"
	예뻐용♡
꾸안꾸 잘 착용하고 있습니당

				
				
(2024-10-24 09:03:32 에 등록된 네이버 페이 구매평)",0, ,CAFE24
7007,2024-10-25 2:48,시스템수집,,5,골드오닉스 다임스톤,P0000BPO,너무좋아요. 딱 맘에들어요. 감사해요(2024-10-24 19:36:51 에 등록된 네이버 페이 구매평),0, ,CAFE24
7008,2024-10-25 2:48,시스템수집,,5,릴렉스톤 커플세트,P0000CHK,너무좋아요. 딱 맘에들어요. 감사해요(2024-10-24 19:36:36 에 등록된 네이버 페이 구매평),0, ,CAFE24
7009,2024-10-25 2:48,시스템수집,,5,오닉스 포르테스톤 목걸이,P0000BQH,너무좋아요. 딱 맘에들어요. 감사해요(2024-10-24 19:36:30 에 등록된 네이버 페이 구매평),0, ,CAFE24
7010,2024-10-25 2:48,시스템수집,,5,오닉스 디펜스톤,P0000BPG,너무좋아요. 딱 맘에들어요. 감사해요(2024-10-24 19:36:56 에 등록된 네이버 페이 구매평),0, ,CAFE24
7011,2024-10-25 2:48,시스템수집,,5,자마노 레브스톤 목걸이,P0000BQL,너무좋아요. 딱 맘에들어요. 감사해요(2024-10-24 19:36:23 에 등록된 네이버 페이 구매평),0, ,CAFE24
7012,2024-10-25 2:48,시스템수집,,5,오닉스 디펜스톤,P0000BPG,너무좋아요. 딱 맘에들어요. 감사해요(2024-10-24 19:36:41 에 등록된 네이버 페이 구매평),0, ,CAFE24
7013,2024-10-25 2:48,시스템수집,,5,오닉스 소브스톤,P0000BNC,너무좋아요. 딱 맘에들어요. 감사해요(2024-10-24 19:36:46 에 등록된 네이버 페이 구매평),0, ,CAFE24
7014,2024-10-25 3:02,시스템수집,,5,호안오닉스 카네스톤,P0000BBQ,"
	이쁘네요 편하게잘 사용할께요

				
				
(2024-10-24 13:33:29 에 등록된 네이버 페이 구매평)",0, ,CAFE24
7015,2024-10-25 3:02,시스템수집,,5,호안오닉스 카네스톤,P0000BBQ,"
	이쁘네요 편하게잘사용할께요

				
				
(2024-10-24 13:34:37 에 등록된 네이버 페이 구매평)",0, ,CAFE24
7016,2024-10-25 3:21,시스템수집,,5,호안오닉스 스테디스톤,P0000BPM,"
	디자인도넘예쁘구요 앞으로좋은일만생길것같아요. 넘감사합니다

				
				
(2024-10-24 17:46:05 에 등록된 네이버 페이 구매평)",0, ,CAFE24
7017,2024-10-25 3:30,시스템수집,,5,아레테스톤 커플세트,P0000CHM,"
	배송도 빠르고  제품 퀄리티도 뛰어나고 고급져 보여 정말 만족하고  사은품 키링도 멋져서 만족하고  강력추천합니다~~~^^

				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
(2024-10-24 19:58:06 에 등록된 네이버 페이 구매평)",0, ,CAFE24
7020,2024-10-25 19:57,비회원,20241023-0000482-01,5,호안오닉스 팬텀골드,P0000BWS,"좋아서 직원한개씩 사줄려고 

5개 더구매 신청했어요",600,L,알파리뷰
7021,2024-10-26 2:38,시스템수집,,5,호안크리스탈 아레테스톤,P0000CHN,"
	지난번에 하나 샀다가 너무 맘에들어 이번에 다른걸로 하나 더 구매했는데 같은 L사이즈인데도 기존것보다 커서 문의했더니 빠르게 교환해줘서 잘 받았네요.
이번것도 좋네요

				
				
				
				
				
				
(2024-10-25 08:32:53 에 등록된 네이버 페이 구매평)",0, ,CAFE24
7022,2024-10-26 2:42,시스템수집,,5,호안석 골드 플렌티스톤,P0000BPL,예쁘게 잘착용하고있습니다(2024-10-25 09:37:24 에 등록된 네이버 페이 구매평),0, ,CAFE24
7023,2024-10-26 2:43,시스템수집,,5,아레테스톤 커플세트,P0000CHM,이뻐요!! 맘에듭니다(2024-10-25 10:47:34 에 등록된 네이버 페이 구매평),0, ,CAFE24
7027,2024-10-26 20:25,NPAY 비회원,20241024-0000103-01,5,오닉스 블랙쿼츠,P0000CHO,"너무 깔끔하고 이뻐요
어디든 매치하기 좋아서 데일리착용중입니다",1100,L,알파리뷰
7031,2024-10-29 2:47,시스템수집,,5,헤마타이트 비전스톤,P0000CHP,이쁘고가볍고좋은데과연 ㅋ(2024-10-28 15:12:59 에 등록된 네이버 페이 구매평),0, ,CAFE24
7035,2024-10-29 19:44,NPAY 비회원,20241025-0000424-01,5,헤마타이트 비전스톤,P0000CHP,깔끔 하고 예뻐요 그리고 생각보다 묵직합니다 ㅎㅎ,600,L,알파리뷰
7038,2024-10-29 19:53,회원,20241026-0000574-01,5,팬텀골드 커플세트,P0000CHR,"이뻐요
감사합니다
번창하세요^^",600,S/XL,알파리뷰
7042,2024-10-30 2:46,시스템수집,,4,카네스톤 커플세트,P0000CHT,"팔찌도이쁘고 
포장상태도 선물용으로 신경쓴게 느껴집니다~
잘하고다닐게용(2024-10-29 15:19:21 에 등록된 네이버 페이 구매평)",0, ,CAFE24
7044,2024-10-30 18:17,회원,20241025-0000272-01,5,호안석 골드 플렌티스톤,P0000BPL,"너무너무예뻐요~~~~맘에 쏘옥들어요♡♡♡
번창하세요~~~~",600,주문제작 (상담하기 또는 배송 메시지에 남겨주세요.),알파리뷰
7045,2024-10-30 19:07,회원,20241027-0000166-01,5,호안오닉스 팬텀골드,P0000BWS,퀄리티가 좋네요. 특히 동그랗게 가공된게 아니라서 더 좋아보입니다.,1100,XL,알파리뷰
7051,2024-10-30 21:28,회원,20241028-0000134-01,5,호안석 리체스톤,P0000BPF,실물로 봐도 이쁘고 너무 잘산거 같습니다.,600,XL,알파리뷰
7053,2024-10-31 11:29,NPAY 비회원,20241028-0000362-01,3,오닉스 포르테스톤 목걸이,P0000BQH,"여자평균 사이즈가 S라고해서 구매했는데 작네요
교환하기도 그렇구요",1100,Free,알파리뷰
7054,2024-10-31 19:30,회원,20241026-0000303-01,4,호안오닉스 미스틱아이언,P0000BWH,"잘 어울리네요...
이번에는 줄이 안 끊어지길....",600,XL,알파리뷰
7056,2024-10-31 19:40,회원,20241029-0000387-01,5,헤마타이트 비전스톤,P0000CHP,"사진보다 실물이 더 이뻐요
색감도 너무 만족합니다",600,M,알파리뷰
7058,2024-10-31 19:54,회원,20241028-0000515-01,3,헤마타이트 비전스톤,P0000CHP,효과는 아직 모르겠어요. 시간이 조금 걸리겠지요...^^,600,L,알파리뷰
7059,2024-11-01 2:42,시스템수집,,5,호안석 골드 플렌티스톤,P0000BPL,포장도 꼼꼼하게 해서 배송되었네요 착용하니 이쁘네요(2024-10-31 09:50:02 에 등록된 네이버 페이 구매평),0, ,CAFE24
7060,2024-11-01 2:44,시스템수집,,5,팬텀골드 커플세트,P0000CHR,고급지네요! 일도 잘풀렸음 합니다(2024-10-31 11:47:39 에 등록된 네이버 페이 구매평),0, ,CAFE24
7061,2024-11-01 2:49,시스템수집,,4,오닉스 포르테스톤 목걸이,P0000BQH,"
	아직 착용은 안해봤어요

				
				
(2024-10-31 10:52:34 에 등록된 네이버 페이 구매평)",0, ,CAFE24
7062,2024-11-01 2:49,시스템수집,,3,오닉스 포르테스톤,P0000BFW,"
	여자 평균이 S라해서 주문했는데 마니 작네요 알도 생각보다 작구요 교환 하기도 어중간하고...참고하세요

				
				
(2024-10-31 10:51:32 에 등록된 네이버 페이 구매평)",0, ,CAFE24
7063,2024-11-01 11:08,회원,20241024-0000349-01,5,호안오닉스 팬텀골드,P0000BWS,"맞춤으로해서
딱맞아요
넘이쁘네요",600,M,알파리뷰
7067,2024-11-02 2:47,시스템수집,,5,호안오닉스 가디언스톤,P0000CBM,좋아요 재구매했어요(2024-11-01 15:51:22 에 등록된 네이버 페이 구매평),0, ,CAFE24
7068,2024-11-03 2:42,시스템수집,,5,호안석 골드 플렌티스톤,P0000BPL,"남편이 했는데 크지않아서 이쁘구요
살짝 반짝거림이 눈에 띄더라구요
저도 해볼까 해요(2024-11-02 09:24:33 에 등록된 네이버 페이 구매평)",0, ,CAFE24
7069,2024-11-03 13:50,회원,20241029-0000749-01,5,카네스톤 커플세트,P0000CHT,크기가 생각보다 작아서 좋아요,1100,S/XL,알파리뷰
7071,2024-11-05 19:07,비회원,20241101-0000707-01,3,호안오닉스 팬텀골드,P0000BWS,밑에쪽에 석이 하나빠진거같은데요? 확인부탁드려요.,1100,L,알파리뷰
7072,2024-11-05 19:50,NPAY 비회원,20241101-0000063-01,5,헤마타이트 비전스톤,P0000CHP,좋은제품 입니다...,600,XL,알파리뷰
7074,2024-11-06 2:46,시스템수집,,5,호안닉스 리치스톤,P0000BPP,좋은 상품 보내주셔서 감사합니다(2024-11-05 14:10:05 에 등록된 네이버 페이 구매평),0, ,CAFE24
7075,2024-11-06 2:46,시스템수집,,5,호안닉스 리치스톤,P0000BPP,좋은 상품 보내주셔서 감사합니다(2024-11-05 14:10:01 에 등록된 네이버 페이 구매평),0, ,CAFE24
7078,2024-11-06 20:01,회원,20241102-0000355-02,5,호안오닉스 스테디스톤,P0000BPM,이번제품도 퀄리티가 너무 좋네요.  오닉스는 컷팅이 되어있어 더 이쁜거 같습니다. 이렇게 팬텀골드랑 같이하기에도 이쁘네요,1100,M,알파리뷰
7080,2024-11-06 21:21,NPAY 비회원,20241104-0000126-01,5,릴렉스톤 커플세트,P0000CHK,이쁘네요 잘 착용 할께요,600,헤마타이트 XS/헤마타이트 L,알파리뷰
7081,2024-11-07 2:48,시스템수집,,5,레브 윈스톤 세트 4mm,P0000BLO,사이즈도 맞고 이뻐요(2024-11-06 18:05:05 에 등록된 네이버 페이 구매평),0, ,CAFE24
7087,2024-11-08 19:44,회원,20241107-0000115-01,5,호안석 트레스톤,P0000BHB,깔끔하고 좋아요 2번째 구입입니다.,600,M,알파리뷰
7088,2024-11-08 19:45,비회원,20241106-0000193-01,5,호안석 골드 플렌티스톤,P0000BPL,실물이 훨씬 예쁘네요~^^,600,XXL,알파리뷰
7091,2024-11-09 2:43,시스템수집,,4,자마노 아가페스톤,P0000CHD,좀 작아요..색상이 조금 검붉은색이라 ..이뿌긴해요(2024-11-08 10:45:43 에 등록된 네이버 페이 구매평),0, ,CAFE24
7092,2024-11-09 2:57,시스템수집,,5,호안오닉스 가디언스톤,P0000CBM,"
	재재재구매중입니다 선물로도 딱인것같아요

				
				
(2024-11-08 11:09:10 에 등록된 네이버 페이 구매평)",0, ,CAFE24
7096,2024-11-09 21:51,NPAY 비회원,20241107-0000160-01,5,팬텀골드 커플세트,P0000CHR,"꼼꼼하게 잘 만들어진 팔찌입니다
다른제품도 눈여겨 보고 있어요",1100,M/XL,알파리뷰
7097,2024-11-10 2:45,시스템수집,,4,자마노 헤븐스톤,P0000CHA,생각보다 깔끔하게 이뻐요(2024-11-09 12:28:45 에 등록된 네이버 페이 구매평),0, ,CAFE24
7098,2024-11-10 2:45,시스템수집,,4,하울오닉스 블루머스크,P0000BWO,생각보다 깔끔하게 이뻐요(2024-11-09 12:28:35 에 등록된 네이버 페이 구매평),0, ,CAFE24
7099,2024-11-10 2:46,시스템수집,,5,릴렉스톤 커플세트,P0000CHK,이쁘네요 잘쓰겠습니다(2024-11-09 14:38:10 에 등록된 네이버 페이 구매평),0, ,CAFE24
7100,2024-11-10 10:36,NPAY 비회원,20241107-0000301-01,5,자마노 레브스톤 4mm,P0000BLN,괜찮아요 너무좋습니다잘쓰게습니다,600,L,알파리뷰
7102,2024-11-11 3:15,시스템수집,,5,호안헤마 페르스톤,P0000BWD,"
	방향 돌려가며 또 다른 느낌으로 착용하기 좋을 듯요
남자용인듯 보이지만 여자들도 아주 굿입니다

				
				
(2024-11-10 18:45:57 에 등록된 네이버 페이 구매평)",0, ,CAFE24
7103,2024-11-11 3:15,시스템수집,,5,아멘티 포르테스톤 세트,P0000BLR,"
	두개를 함께  착용하니 더 예뻐요
따로 또 같이 착용하기도 좋고 넘 고급져 보여 좋았어요

				
				
(2024-11-10 18:49:09 에 등록된 네이버 페이 구매평)",0, ,CAFE24
7104,2024-11-11 3:27,시스템수집,,5,카네스톤 커플세트,P0000CHT,"
	배송빠르고 너무 이쁘네요 요즘 근심걱정많았는데 희망이라도 가져보고 싶어서 구매했네요

				
				
(2024-11-10 21:46:01 에 등록된 네이버 페이 구매평)",0, ,CAFE24
7105,2024-11-11 19:49,회원,20241027-0000577-02,5,카네스톤 커플세트,P0000CHT,"응대도 잘해주시고 상품도 너무 맘에 들어요!!
담에 다른것도 사야겠어요ㅎ",600,M/M,알파리뷰
7106,2024-11-12 2:48,시스템수집,,5,호안오닉스 엔고르 키링,P0000BQF,색깔도 맘에드고 크기도 좋아요(2024-11-11 13:31:25 에 등록된 네이버 페이 구매평),0, ,CAFE24
7109,2024-10-13 22:28,시스템수집,,1,호안 헬리오스 아우라 세트,P0000BWR,물건교환 신청하여서 물건은 가져갔는데  언제 다른물건이 오나요??????,0, ,CAFE24
7119,2024-11-13 3:39,시스템수집,,5,아이아게이트 디오스톤,P0000BGY,"
	너무 이뻐용 진짜ㅠㅠ 열심히 차고 다닐거같아요

				
				
(2024-11-12 20:51:48 에 등록된 네이버 페이 구매평)",0, ,CAFE24
7120,2024-11-13 10:11,회원,20241108-0000507-01,5,호안석 리체스톤,P0000BPF,원석 크기도 적당하고 튼튼해 보이고 딱 좋아요~!!,1100,XL,알파리뷰
7123,2024-11-13 19:32,NPAY 비회원,20241110-0000394-01,5,헤마타이트 비전스톤,P0000CHP,"설명대로 줄 여유있게 주문했는데
줄이 짱짱해서 그런지 생각보단 타이트 하네요
그래도 무게감도 좋고 이뻐요
추가적으로 십자가문양말고 절(만자) 문양도 같이 제작되면 좋을거같아요!",600,M,알파리뷰
7124,2024-11-13 19:52,회원,20241110-0000347-01,5,골드자마노 글로우스톤,P0000BXP,"실물이 훨씬 이뻐요~
잘 착용하겠습니다~",600,M,알파리뷰
7133,2024-11-14 2:51,시스템수집,,5,호안오닉스 카네스톤,P0000BBQ,남편 하나 사줬는데 맘에들어해요!! 꾸안꾸~ 안싸보이고 좋아요!(2024-11-13 23:06:05 에 등록된 네이버 페이 구매평),0, ,CAFE24
7134,2024-11-14 3:25,시스템수집,,5,헤마타이트 비전스톤,P0000CHP,"
	디자인도 이쁘고 무게감도 좋아요!
사이즈는 줄이 짱짱해서 생각보다 타이트 하네요 ㅎㅎ
그리고 십자가문양버전말고 절(만자)문양 버전도 있으면 좋을거같아요!!

				
				
(2024-11-13 18:55:17 에 등록된 네이버 페이 구매평)",0, ,CAFE24
7135,2024-11-14 2:45,시스템수집,,5,자마노 아가페스톤,P0000CHD,잘 받았습니다. 맘에 들어요. 데일리로 편하게 사용하기 좋아요.(2024-11-13 12:09:44 에 등록된 네이버 페이 구매평),0, ,CAFE24
7137,2024-11-14 8:46,회원,20241111-0000409-01,5,호안오닉스 팬텀골드,P0000BWS,사진하고똑같네요너무이쁩니다,1100,M,알파리뷰
7144,2024-11-15 0:41,회원,20241108-0000472-01,5,오닉스 블랙쿼츠,P0000CHO,사이즈도 잘맞고 예뻐요,1100,S,알파리뷰
7146,2024-11-15 9:49,회원,20241112-0000566-01,5,헤마타이트 비전스톤,P0000CHP,고급스러워요.. 생각보다 크지 않아서 웬만한 남자분들은 xl 추천합니다.,1100,XL,알파리뷰
7147,2024-11-15 12:21,회원,20241111-0000592-01,5,오닉스 포르테스톤 목걸이,P0000BQH,"목걸이는 당연히 만족스럽구요
포장에 감동했습니다
그저 착한가격의 목걸이를
고가의 제품포장처럼 소중히 
보내주셔서 더 값어치있고 좋은기운의
제품으로 느껴졌습니다
사이즈 좋구요
기존에 구입한 호안석팔찌 잘 차고 있습니다

너무 만족합니다
사은품으로 보내주신 키링도 너무
예쁘네요
목걸이 하나더 주문하려구요~",1100,Free,알파리뷰
7150,2024-11-15 19:07,회원,20241110-0000156-02,5,헤마타이트 릴렉스톤,P0000CHL,배송도 빠르고 이쁘네요~,600,M,알파리뷰
7155,2024-11-16 2:46,시스템수집,,3,헤마타이트 비전스톤,P0000CHP,어제 받아 착용 하는데 가장 큰 사이즈 임에도 작아서 끊어질거 같음 24시간 착용 해야 할듯(2024-11-15 14:22:12 에 등록된 네이버 페이 구매평),0, ,CAFE24
7156,2024-11-16 2:43,시스템수집,,5,헤마타이트 비전스톤,P0000CHP,"디자인  조아요
착용감 조아요(2024-11-15 10:36:05 에 등록된 네이버 페이 구매평)",0, ,CAFE24
7157,2024-11-16 2:43,시스템수집,,5,호안오닉스 카네스톤,P0000BBQ,이쁘자나요!!ㅎㅎㅎ(2024-11-15 10:40:54 에 등록된 네이버 페이 구매평),0, ,CAFE24
7158,2024-11-16 19:53,비회원,20241114-0000584-01,5,자마노 아가페스톤,P0000CHD,"최고입니다
너무맘에듭니다",1100,M,알파리뷰
7160,2024-11-16 20:46,회원,20241019-0000253-01,5,헤마타이트 릴렉스톤,P0000CHL,이뻐요 다른거랑 레이어드해서 차도 이쁠듯합니다,600,M,알파리뷰
7161,2024-11-16 20:56,회원,20241109-0000874-01,5,오닉스 블랙쿼츠,P0000CHO,실물이 더 예쁘고 같이주신 키링 너무 이뻐요,600,M,알파리뷰
7164,2024-11-17 2:44,시스템수집,,5,헤마타이트 릴렉스톤,P0000CHL,"재구매 입니다
선물용으로 추가구매 했는데 잘쓸께요(2024-11-16 11:31:52 에 등록된 네이버 페이 구매평)",0, ,CAFE24
7165,2024-11-17 2:44,시스템수집,,5,호안오닉스 팬텀골드,P0000BWS,"재구매 입니다
선물용으로 추가구매 했는데 잘쓸께요(2024-11-16 11:32:07 에 등록된 네이버 페이 구매평)",0, ,CAFE24
7166,2024-11-17 3:18,시스템수집,,5,헤마타이트 비전스톤,P0000CHP,"
	배송빠르고 
팔찌이쁘내요
근데 사이즈가 조금작은듯

				
				
(2024-11-16 17:53:36 에 등록된 네이버 페이 구매평)",0, ,CAFE24
7167,2024-11-17 2:43,시스템수집,,5,자마노 아가페스톤,P0000CHD,깔끔하고 손목에 딱 맞고 좋아요 ~(2024-11-16 10:14:19 에 등록된 네이버 페이 구매평),0, ,CAFE24
7168,2024-11-18 18:56,NPAY 비회원,20240903-0000374-01,2,호안오닉스 카네스톤,P0000BBQ,"네이버페이로 주문하고 상품문의에 글을 작성할라고 했더니 안되네요. 부득이 리뷰에 글을 남깁니다.
9월에 구매 했는데, 줄이 너무 빨리 늘어나서
불량인가 생각이 듭니다. as나 교환을 원합니다.
방법을 알려주새요.",0,XL,알파리뷰
7169,2024-11-19 2:48,시스템수집,,2,호안오닉스 카네스톤,P0000BBQ,줄이 너무 빨리 늘어났어요. ㅠㅠ(2024-11-18 18:42:38 에 등록된 네이버 페이 구매평),0, ,CAFE24
7170,2024-11-19 2:49,시스템수집,,5,헤마타이트 비전스톤,P0000CHP,제품 퀄리티가 아주 좋네요. 만족합니다.(2024-11-18 19:26:48 에 등록된 네이버 페이 구매평),0, ,CAFE24
7171,2024-11-19 14:53,회원,20241114-0000732-01,5,팬텀골드 커플세트,P0000CHR,"초딩아들이 아빠랑 세트로 구매했습니다.사이즈가 애매해 엄마 사이즈인 미듐으로 해서 크면 스몰 시켜주려했는데 좀 크지만 그냥 한다고 하네요 ㅎ
엄마꺼 주문하려고 합니다. ^^",1100,M/L,알파리뷰
7178,2024-11-19 19:54,NPAY 비회원,20241116-0000557-01,5,헤마타이트 비전스톤,P0000CHP,"만족합니다
잘사용할께요",1100,S,알파리뷰
7181,2024-11-19 20:04,회원,20241116-0000907-03,5,호안석 골드 플렌티스톤,P0000BPL,선물했다가 실물보고 제거 구입했습니다ㅎ,1100,M,알파리뷰
7182,2024-11-19 20:04,회원,20241116-0000907-02,5,호안석 골드 플렌티스톤,P0000BPL,"가족들에게 하나씩 선물했어요
다들좋아합니다",1100,L,알파리뷰
7183,2024-11-19 20:04,회원,20241116-0000907-01,5,호안석 골드 플렌티스톤,P0000BPL,아빠 선물드렸는데 좋아하시네요!!!,1100,XL,알파리뷰
7184,2024-11-19 20:11,NPAY 비회원,20241116-0000677-01,5,호안오닉스 팬텀골드,P0000BWS,"제 남친만 3번째주문이고 제가 처음으로주문해봤는데
매번 끊어먹고 이 허당커플들ㅡㅡ이번엔 다시 주문안하려했는데 제품이이뻐 다시주문했어요~제발이번에 이 주문이 마지막이길ㅜㅜ",600,L,알파리뷰
7185,2024-11-19 20:31,비회원,20241116-0000170-01,5,헤마타이트 비전스톤,P0000CHP,"아주 만족합니딘
착용시 멋스러움이 절로 납니다",600,XL,알파리뷰
7188,2024-11-19 22:28,NPAY 비회원,20241115-0000522-01,4,헤마타이트 비전스톤,P0000CHP,무난하며 차가운 느낌이 들고  좋은일만 가득하길 바래야죠,600,XL,알파리뷰
7190,2024-11-20 2:31,시스템수집,,5,헤마타이트 비전스톤,P0000CHP,"
	사이즈가 아주 잘 맞아요

				
				
(2024-11-19 00:03:40 에 등록된 네이버 페이 구매평)",0, ,CAFE24
7191,2024-11-20 2:47,시스템수집,,5,자마노 아가페스톤,P0000CHD,"포장 하나하나 감동입니다. 
사장님 마음이 담겨있어 기분이 좋았어요! 좋은 기운 받는 느낌입니다! 파이팅입니다.(2024-11-19 16:24:48 에 등록된 네이버 페이 구매평)",0, ,CAFE24
7192,2024-11-20 3:09,시스템수집,,5,헤마타이트 비전스톤,P0000CHP,"
	상품잘받았습니다
감사합니다

				
				
(2024-11-19 16:22:41 에 등록된 네이버 페이 구매평)",0, ,CAFE24
7193,2024-11-20 14:52,비회원,20241115-0000173-01,5,헤마타이트 비전스톤,P0000CHP,"잘 어울려서 아주 만족합니다.
키링은 가방에 달아놓으니 아주 고급져 보입니다.",600,M,알파리뷰
7196,2024-11-20 19:40,NPAY 비회원,20241117-0000265-01,5,자마노 아가페스톤,P0000CHD,정말 멋지고 퀄리티도 좋아 만족하고  주변에  강력추천합니다~~~^^,1100,XL,알파리뷰
7197,2024-11-21 2:45,시스템수집,,5,호안오닉스 카네스톤,P0000BBQ,이쁘고 좋아요 좋아요(2024-11-20 14:18:55 에 등록된 네이버 페이 구매평),0, ,CAFE24
